149 from pcr,,149 from idt mix,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
564.9819946,0.08228646964,564.9819946,0.09708817303,
560.0098877,0.08088000119,560.0098877,0.09676037729,
554.9943848,0.07948543876,554.9943848,0.09468885511,
550.0103149,0.07714926451,550.0103149,0.09284012765,
544.9828491,0.07570830733,544.9828491,0.09104488045,
539.9870605,0.07312814146,539.9870605,0.08735077828,
534.9855347,0.07075136155,534.9855347,0.08483218402,
530.0159302,0.06984223425,530.0159302,0.0817226246,
525.0030518,0.06958817691,525.0030518,0.08298703283,
519.9845581,0.07145777345,519.9845581,0.08595923334,
514.998291,0.07402008772,514.998291,0.08740418404,
510.0066528,0.07637885213,510.0066528,0.09026498348,
505.009613,0.07777048647,505.009613,0.08974823356,
500.0073853,0.07973378897,500.0073853,0.09397178143,
494.9997253,0.08056330681,494.9997253,0.09322384,
489.9869385,0.08066485077,489.9869385,0.09193140268,
485.0069885,0.08061660081,485.0069885,0.09180672467,
479.9839783,0.08035756648,479.9839783,0.09160885215,
474.9939575,0.08056094497,474.9939575,0.09492067248,
469.9991455,0.08234041184,469.9991455,0.09324219078,
464.9993591,0.08537553996,464.9993591,0.0986642465,
459.9947205,0.08817079663,459.9947205,0.1017150432,
454.9854431,0.0900349766,454.9854431,0.1019761413,
450.009613,0.09143406898,450.009613,0.1033658236,
444.9909363,0.09232708812,444.9909363,0.1041870266,
440.0059814,0.09325621277,440.0059814,0.1029066741,
435.0165405,0.09378756583,435.0165405,0.1034062207,
429.9842529,0.09408444911,429.9842529,0.1053698659,
424.9859619,0.09411302954,424.9859619,0.1042614281,
419.9833374,0.09433691204,419.9833374,0.1027577817,
415.0148926,0.09447856247,415.0148926,0.1031617895,
410.0038147,0.09482453763,410.0038147,0.1028772146,
404.9884949,0.0948471725,404.9884949,0.1045861766,
400.0076294,0.09450739622,400.0076294,0.1038362458,
394.9841614,0.09395661205,394.9841614,0.1016397625,
389.9953003,0.09369508922,389.9953003,0.1003484875,
385.002533,0.09450166672,385.002533,0.1028542519,
380.0058899,0.0970524326,380.0058899,0.1039212421,
375.0054321,0.1007145792,375.0054321,0.1073708683,
370.0012207,0.1048932299,370.0012207,0.1096732318,
364.9932251,0.1084491611,364.9932251,0.1130953431,
359.9816284,0.1101831719,359.9816284,0.1140594929,
355.0052795,0.1114913449,355.0052795,0.1138247699,
349.9864807,0.1127482653,349.9864807,0.1149794757,
345.0031433,0.1136540994,345.0031433,0.1138135344,
340.0163574,0.1144839972,340.0163574,0.1157424226,
334.9871826,0.1157002822,334.9871826,0.1127724648,
329.9936829,0.1168136448,329.9936829,0.1140470728,
324.9969482,0.1187087372,324.9969482,0.1140220612,
319.9969482,0.1216784641,319.9969482,0.1161133721,
314.9938049,0.1266636401,314.9938049,0.1212726831,
309.9875488,0.1320586056,309.9875488,0.1291072667,
305.0173645,0.1402163953,305.0173645,0.1536351442,
300.0050049,0.1566644609,300.0050049,0.2370398641,
294.9897156,0.1909825504,294.9897156,0.4135473073,
290.0106812,0.2429382503,290.0106812,0.6685146689,
284.9895935,0.3081883192,284.9895935,0.9757533073,
280.0049438,0.4357203841,280.0049438,1.287957788,
275.0175476,0.639657557,275.0175476,1.574855089,
269.9881897,0.7469228506,269.9881897,1.75429368,
264.9954834,0.743473053,264.9954834,1.815840364,
260.0001831,0.7134234905,260.0001831,1.784882069,
255.0023193,0.6589897275,255.0023193,1.685798645,
250.0019836,0.5980746746,250.0019836,1.539434791,
244.9992218,0.5460290909,244.9992218,1.425366879,
239.9940186,0.5263940096,239.9940186,1.411909103,
234.9865417,0.5505509377,234.9865417,1.477467299,
230.0161743,0.6771578193,230.0161743,1.614302397,
225.0041504,1.020133018,225.0041504,1.784997702,
219.9898987,1.729503393,219.9898987,2.063607693,
215.013031,2.260601521,215.013031,2.381994247,
209.9945526,2.679244041,209.9945526,2.721225262,
205.0135956,3.21854043,205.0135956,3.189997911,
199.9910889,3.242642641,199.9910889,3.74703002,

149 from pcr,
149 from pcr
Collection Time: 5/17/2017 11:13:53 AM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.00
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 5/17/2017 11:11:52 AM
Method Modifications: None
<Current Wavelength> , 271.9

149 from idt mix,
149 from idt mix
Collection Time: 5/17/2017 11:15:59 AM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  24000.00
UV-Vis Data Interval (nm)  5.00
UV-Vis Ave. Time (sec)  0.0125
Beam Mode  Dual Beam
Baseline Correction  Off
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 5/17/2017 11:11:52 AM
Method Modifications: None
<Current Wavelength> , 390.0

