50uM norfloxacin3,,30uM,,30uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
352.0074158,0.4615737498,351.9837646,0.07049960643,351.9837646,0.07049960643,
350.9964294,0.476010263,351.011322,0.07764888555,351.011322,0.07764888555,
349.9852905,0.4805680513,349.9998169,0.08568157256,349.9998169,0.08568157256,
349.0129395,0.4992216825,348.9882202,0.09414337575,348.9882202,0.09414337575,
348.0015259,0.5111425519,348.0154114,0.1061676666,348.0154114,0.1061676666,
346.9899902,0.5285878181,347.0035095,0.119388096,347.0035095,0.119388096,
346.0171814,0.5464667678,345.9914856,0.1337891519,345.9914856,0.1337891519,
345.0053711,0.5647622943,345.0182495,0.1501066834,345.0182495,0.1501066834,
343.9933777,0.5873101354,344.0059204,0.1683802605,344.0059204,0.1683802605,
342.9812317,0.6187564731,342.9934998,0.190182358,342.9934998,0.190182358,
342.0079041,0.6483963728,341.980896,0.2137698382,341.980896,0.2137698382,
340.9955444,0.6732865572,341.0071106,0.2346183211,341.0071106,0.2346183211,
339.9830017,0.701777935,339.9942322,0.2607063353,339.9942322,0.2607063353,
339.0093079,0.7317647338,338.9812622,0.2819348276,338.9812622,0.2819348276,
337.996521,0.7587108612,338.0070801,0.3010100126,338.0070801,0.3010100126,
336.983551,0.7814096212,336.9938049,0.318726182,336.9938049,0.318726182,
336.0094299,0.7995471954,336.0193481,0.3313181996,336.0193481,0.3313181996,
334.9962463,0.80806458,335.0058594,0.3427124321,335.0058594,0.3427124321,
333.9829102,0.824714303,333.9921265,0.3504480124,333.9921265,0.3504480124,
333.0084229,0.8281737566,333.0173035,0.3553110361,333.0173035,0.3553110361,
331.9947815,0.8414778113,332.0033875,0.3598933518,332.0033875,0.3598933518,
330.9810486,0.8499326706,330.9893188,0.3631672263,330.9893188,0.3631672263,
330.0061646,0.8504427671,330.0140686,0.366699636,330.0140686,0.366699636,
328.9921265,0.8555355668,328.9997253,0.3693117201,328.9997253,0.3693117201,
328.0169983,0.8528100848,327.98526,0.3731401563,327.98526,0.3731401563,
327.0027466,0.8621019721,327.0096741,0.3766240776,327.0096741,0.3766240776,
325.9883118,0.8673647046,325.9949341,0.381172955,325.9949341,0.381172955,
325.0128174,0.8722000122,325.0190735,0.3859682977,325.0190735,0.3859682977,
323.9981384,0.8728333712,324.0040894,0.3888804615,324.0040894,0.3888804615,
322.9833374,0.881038785,322.9889221,0.3924585879,322.9889221,0.3924585879,
322.0074463,0.8869280219,322.0127258,0.3940894902,322.0127258,0.3940894902,
320.9924011,0.8921198845,320.997345,0.3943441808,320.997345,0.3943441808,
320.0162354,0.887604177,319.9818115,0.3931006789,319.9818115,0.3931006789,
319.0009155,0.8871297836,319.005188,0.3915426731,319.005188,0.3915426731,
317.9854431,0.8839583993,317.9894104,0.387971431,317.9894104,0.387971431,
317.0089722,0.8841371536,317.0126038,0.3847269416,317.0126038,0.3847269416,
315.9932861,0.8742192984,315.9965515,0.3813147843,315.9965515,0.3813147843,
315.01651,0.8634324074,315.0194397,0.3771159947,315.0194397,0.3771159947,
314.0005493,0.8607187271,314.0031433,0.3728040755,314.0031433,0.3728040755,
312.9844666,0.851968348,312.9867554,0.3689053953,312.9867554,0.3689053953,
312.0073547,0.8456320167,312.0093079,0.3648231924,312.0093079,0.3648231924,
310.9910278,0.8473533392,310.9926453,0.3603540957,310.9926453,0.3603540957,
310.0136414,0.8432148695,310.0149536,0.355926007,310.0149536,0.355926007,
308.9970703,0.8378517032,308.9980164,0.3511422276,308.9980164,0.3511422276,
308.0194702,0.8274414539,307.9809875,0.3460122943,307.9809875,0.3460122943,
307.002655,0.8251878619,307.0029602,0.3414714038,307.0029602,0.3414714038,
305.9856873,0.8128751516,305.9856873,0.3354411721,305.9856873,0.3354411721,
305.0077209,0.8072760701,305.0073853,0.3298443556,305.0073853,0.3298443556,
303.990509,0.8034797311,303.9898071,0.3259898722,303.9898071,0.3259898722,
303.0123291,0.7965950966,303.011322,0.3220968246,303.011322,0.3220968246,
301.994873,0.7864160538,301.9935303,0.3182556927,301.9935303,0.3182556927,
301.016449,0.793143034,301.014801,0.3168370724,301.014801,0.3168370724,
299.9987793,0.7914008498,299.9967651,0.3171207905,299.9967651,0.3171207905,
298.980957,0.7948414087,299.0177917,0.3184360564,299.0177917,0.3184360564,
298.0021973,0.8042324185,297.9995117,0.3220178187,297.9995117,0.3220178187,
296.9841614,0.8062899709,296.9811401,0.3276073635,296.9811401,0.3276073635,
296.005127,0.8234602213,296.0018005,0.3371598721,296.0018005,0.3371598721,
294.9868469,0.8387163877,294.9831848,0.3490328491,294.9831848,0.3490328491,
294.0076294,0.869242847,294.0036316,0.3642745614,294.0036316,0.3642745614,
